time,rank,reconstruction_error,threshold,rank_changed
6976,15,0.2576162914003494,0.2505676422019436,0
7001,15,0.2576162914003494,0.2505676422019436,0
7026,15,0.2576162914003494,0.2505676422019436,0
7051,15,0.2576162914003494,0.2505676422019436,0
7076,15,0.2576162914003494,0.2505676422019436,0
7101,15,0.2576162914003494,0.2505676422019436,0
7126,15,0.24948225004726718,0.250459102986476,0
7151,15,0.24948225004726718,0.250459102986476,0
7176,15,0.24948225004726718,0.250459102986476,0
7201,15,0.24948225004726718,0.250459102986476,0
7226,15,0.24948225004726718,0.250459102986476,0
7251,15,0.24948225004726718,0.250459102986476,0
7276,15,0.24948225004726718,0.250459102986476,0
7301,15,0.24948225004726718,0.250459102986476,0
7326,15,0.24948225004726718,0.250459102986476,0
7351,15,0.22849249382473993,0.2482624420703024,0
7376,15,0.22849249382473993,0.2482624420703024,0
7401,15,0.22849249382473993,0.2482624420703024,0
7426,15,0.22849249382473993,0.2482624420703024,0
7451,15,0.22849249382473993,0.2482624420703024,0
7476,15,0.22849249382473993,0.2482624420703024,0
7501,15,0.22849249382473993,0.2482624420703024,0
7526,15,0.22849249382473993,0.2482624420703024,0
7530,14,0.19341263617679136,0.2427774614809513,1
7551,14,0.19341263617679136,0.2427774614809513,0
7576,14,0.19341263617679136,0.2427774614809513,0
7601,14,0.19341263617679136,0.2427774614809513,0
7626,14,0.19341263617679136,0.2427774614809513,0
7651,14,0.19341263617679136,0.2427774614809513,0
7676,14,0.19341263617679136,0.2427774614809513,0
7701,14,0.19341263617679136,0.2427774614809513,0
7726,14,0.16404323034089882,0.23490403836694604,0
7751,14,0.16404323034089882,0.23490403836694604,0
7776,14,0.16404323034089882,0.23490403836694604,0
7801,14,0.16404323034089882,0.23490403836694604,0
7826,14,0.16404323034089882,0.23490403836694604,0
7851,14,0.16404323034089882,0.23490403836694604,0
7876,14,0.15492678263712667,0.22690631279396412,0
7901,14,0.15492678263712667,0.22690631279396412,0
7926,14,0.15492678263712667,0.22690631279396412,0
7951,14,0.15492678263712667,0.22690631279396412,0
7976,14,0.15492678263712667,0.22690631279396412,0
8001,14,0.15492678263712667,0.22690631279396412,0
8026,14,0.15492678263712667,0.22690631279396412,0
8051,14,0.1541650401941843,0.21963218553398614,0
8076,14,0.1541650401941843,0.21963218553398614,0
8101,14,0.1541650401941843,0.21963218553398614,0
8126,14,0.1541650401941843,0.21963218553398614,0
8151,14,0.1541650401941843,0.21963218553398614,0
8176,14,0.1541650401941843,0.21963218553398614,0
8201,14,0.1541650401941843,0.21963218553398614,0
8214,12,0.15443756976711928,0.21311272395729947,1
8226,12,0.15443756976711928,0.21311272395729947,0
8251,12,0.15443756976711928,0.21311272395729947,0
8276,12,0.15443756976711928,0.21311272395729947,0
8301,12,0.15443756976711928,0.21311272395729947,0
8326,12,0.15443756976711928,0.21311272395729947,0
8351,12,0.15443756976711928,0.21311272395729947,0
8376,12,0.15443756976711928,0.21311272395729947,0
8401,12,0.2195795045515306,0.21375940201672258,0
8426,12,0.2195795045515306,0.21375940201672258,0
8451,12,0.2195795045515306,0.21375940201672258,0
8476,12,0.2195795045515306,0.21375940201672258,0
8501,12,0.2195795045515306,0.21375940201672258,0
8526,12,0.2195795045515306,0.21375940201672258,0
8551,12,0.2195795045515306,0.21375940201672258,0
8576,12,0.22112801641070706,0.21449626345612105,0
8601,12,0.22112801641070706,0.21449626345612105,0
8626,12,0.22112801641070706,0.21449626345612105,0
8651,12,0.22112801641070706,0.21449626345612105,0
8676,12,0.22112801641070706,0.21449626345612105,0
8701,12,0.22112801641070706,0.21449626345612105,0
8726,12,0.22237154486232427,0.21528379159674138,0
8751,12,0.22237154486232427,0.21528379159674138,0
8776,12,0.22237154486232427,0.21528379159674138,0
8801,12,0.22237154486232427,0.21528379159674138,0
8826,12,0.22237154486232427,0.21528379159674138,0
8851,12,0.22237154486232427,0.21528379159674138,0
8876,12,0.22237154486232427,0.21528379159674138,0
8901,12,0.2238637352660048,0.21614178596366773,0
8926,12,0.2238637352660048,0.21614178596366773,0
8951,12,0.2238637352660048,0.21614178596366773,0
8976,12,0.2238637352660048,0.21614178596366773,0
